stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
WINFLOUN5Z,172905,Pseudopleuronectes americanus,Winter Flounder,USA-NMFS-5Z,Winter Flounder NAFO-5Z,US East Coast,72.34384167,8805,MT,NA,NA,2618.333333,MT,2396.666667,MT,ADAPT,8805,2618.333333,3722.522089,20121.74102
POLLNS-VI-IIIa,164727,Pollachius virens,Pollock,multinational-ICES-IIIa-IV-VI,"Pollock ICES IIIa, VI and North Sea",European Union,81.44651374,225500,MT,460166.6667,MT,119216.6667,MT,108050,MT,Unknown,460166.6667,119216.6667,100895.2641,1289077.606
HERRPRD,551209,Clupea pallasii,Pacific herring,Canada-DFO-PRD,Pacific herring Prince Rupert District,Canada West Coast,85.14068336,21283.33333,MT,47416.66667,MT,3941.666667,MT,NA,NA,SCA,47416.66667,3941.666667,388.0414335,19402.07168
ACADREDGOMGB,166774,Sebastes fasciatus,Acadian redfish,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,US East Coast,86.59609063,120666.6667,MT,NA,NA,577,MT,395,MT,ASAP,120666.6667,577,37755.3459,123788.0193
AMPL5YZ,172877,Hippoglossoides platessoides,American Plaice,USA-NMFS-5YZ,American Plaice NAFO-5YZ,US East Coast,86.59609063,7283.333333,MT,NA,NA,3386.666667,MT,2971.666667,MT,VPA,7283.333333,3386.666667,4415.178779,16352.514
ATHAL5YZ,172933,Hippoglossus hippoglossus,Atlantic Halibut,USA-NMFS-5YZ,Atlantic Halibut NAFO-5YZ,US East Coast,86.59609063,NA,NA,868,MT,41.96666667,MT,23.16666667,MT,Unknown,868,41.96666667,346.9368695,912.9917619
POLL5YZ,164727,Pollachius virens,Pollock,USA-NMFS-5YZ,Pollock NAFO-5YZ,US East Coast,86.59609063,252000,MT,204833.3333,MT,5651.666667,MT,5176.666667,MT,ASAP,204833.3333,5651.666667,4713.383652,58917.29565
WHAKEGBGOM,164732,Urophycis tenuis,White hake,USA-NMFS-5YZ,White hake Georges Bank / Gulf of Maine,US East Coast,86.59609063,11630,MT,14300,MT,3748.333333,MT,NA,NA,ASAP,14300,3748.333333,5679.956836,11137.17027
HERRCC,551209,Clupea pallasii,Pacific herring,Canada-DFO-CC,Pacific herring Central Coast,Canada West Coast,91.10439165,21100,MT,50666.66667,MT,4358.333333,MT,NA,NA,SCA,50666.66667,4358.333333,32.47687743,1623.843871
HERRWCVANI,551209,Clupea pallasii,Pacific herring,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Canada West Coast,95.25286372,16026.66667,MT,59150,MT,2448.5,MT,NA,NA,SCA,59150,2448.5,170.0509333,8502.546665
