"Family","Genus","Species","lme","fao","Subspecies"
"Ammodytidae","Ammodytes","tobianus","23",27,""
"Clupeidae","Alosa","","23",27,""
"Ammodytidae",NA,"","23",27,""
"Zoarcidae","Zoarces","viviparus","23",27,""
"Bothidae",NA,"","23",27,""
"Ammodytidae","Ammodytes","marinus","23",27,""
"Scophthalmidae","Zeugopterus","punctatus","23",27,""
"Liparidae","Liparis","","23",27,""
"Mullidae","Mullus","surmuletus","23",27,""
"Ammodytidae","Ammodytes","","23",27,""
"Cottidae","Myoxocephalus","quadricornis","23",27,""
"Argentinidae","Argentina","","23",27,""
"Percidae","Sander","lucioperca","23",27,""
"Callionymidae","Callionymus","lyra","23",27,""
"Esocidae","Esox","lucius","23",27,""
"Salmonidae","Coregonus","albula","23",27,""
"Anarhichadidae","Anarhichas","lupus","23",27,""
"Lotidae","Ciliata","","23",27,""
"Gasterosteidae","Pungitius","pungitius","22",27,""
"Percidae","Perca","fluviatilis","23",27,""
"Mullidae","Mullus","barbatus barbatus","23",27,"barbatus"
"Petromyzontidae","Lampetra","fluviatilis","23",27,""
"Gasterosteidae","Pungitius","pungitius","23",27,""
"Ammodytidae","Hyperoplus","","23",27,""
"Syngnathidae","Nerophis","","23",27,""
"Sternoptychidae","Argyropelecus","olfersii","22",27,""
"Stichaeidae","Leptoclinus","maculatus","23",27,""
"Triglidae","Chelidonichthys","lucerna","23",27,""
"Zoarcidae","Lycodes","vahlii","23",27,""
"Belonidae","Belone","belone","23",27,""
"Triglidae","Chelidonichthys","cuculus","23",27,""
"Gasterosteidae",NA,"","23",27,""
"Blenniidae","Lipophrys","pholis","23",27,""
"Pleuronectidae","Glyptocephalus","cynoglossus","23",27,""
"Atherinidae","Atherina","presbyter","23",27,""
"Cottidae",NA,"","23",27,""
"Gobiidae","Neogobius","","23",27,""
"Percidae","Gymnocephalus","cernua","23",27,""
"Labridae","Acantholabrus","palloni","23",27,""
"Ammodytidae","Hyperoplus","immaculatus","23",27,""
"Cottidae","Taurulus","bubalis","23",27,""
"Cyprinidae","Rutilus","rutilus","23",27,""
"Lotidae","Gaidropsarus","vulgaris","23",27,""
"Cottidae","Triglops","","23",27,""
"Lotidae","Molva","molva","23",27,""
"Gadidae","Pollachius","pollachius","23",27,""
"Gobiidae","Gobiusculus","flavescens","23",27,""
"Labridae","Labrus","bergylta","23",27,""
"Sternoptychidae","Argyropelecus","olfersii","23",27,""
"Carangidae","Caranx","rhonchus","23",27,""
"Cyprinidae","Abramis","brama","22",27,""
"Soleidae","Pegusa","lascaris","23",27,""
"Callionymidae",NA,"","23",27,""
"Gobiidae","Neogobius","","22",27,""
"Cyprinidae","Vimba","vimba","23",27,""
"Zoarcidae","Lycodes","gracilis","23",27,""
"Merlucciidae","Merluccius","merluccius","24",27,""
"Sparidae","Sparus","aurata","24",27,""
"Sparidae","Boops","boops","24",27,""
"Mugilidae","Chelon","","24",27,""
"Carangidae","Trachurus","mediterraneus","24",27,""
"Labridae","Labrus","mixtus","24",27,""
"Gadidae","Micromesistius","poutassou","24",27,""
"Lophiidae","Lophius","budegassa","24",27,""
"Caproidae","Capros","aper","24",27,""
"Cepolidae","Cepola","macrophthalma","24",27,""
"Argentinidae","Argentina","","24",27,""
"Scophthalmidae","Lepidorhombus","whiffiagonis","24",27,""
"Scophthalmidae","Lepidorhombus","boscii","24",27,""
"Gadidae","Gadiculus","argenteus","24",27,""
"Lotidae","Gaidropsarus","vulgaris","24",27,""
"Macrouridae","Malacocephalus","laevis","24",27,""
"Phycidae","Phycis","blennoides","24",27,""
"Gobiidae","Aphia","minuta","24",27,""
"Triglidae","Chelidonichthys","obscurus","24",27,""
"Soleidae","Dicologlossa","cuneata","24",27,""
"Ammodytidae","Hyperoplus","immaculatus","24",27,""
"Sparidae","Pagrus","pagrus","24",27,""
"Scombridae","Sarda","sarda","24",27,""
"Rajidae","Leucoraja","naevus","24",27,""
"Carapidae","Echiodon","drummondii","24",27,""
"Bothidae","Arnoglossus","imperialis","24",27,""
"Torpedinidae","Torpedo","marmorata","24",27,""
"Sciaenidae","Argyrosomus","regius","24",27,""
"Sparidae","Lithognathus","mormyrus","24",27,""
"Squalidae","Squalus","acanthias","24",27,""
"Soleidae","Bathysolea","profundicola","24",27,""
"Pentanchidae","Galeus","melastomus","24",27,""
"Moridae","Lepidion","eques","24",27,""
"Myctophidae","Notoscopelus","kroyeri","24",27,""
"Carangidae","Trachurus","picturatus","24",27,""
"Clupeidae","Alosa","","24",27,""
"Syngnathidae","Hippocampus","hippocampus","24",27,""
"Rajidae","Leucoraja","circularis","24",27,""
"Sparidae","Pagellus","erythrinus","24",27,""
"Sebastidae","Helicolenus","dactylopterus","24",27,""
"Scorpaenidae","Scorpaena","loppei","24",27,""
"Berycidae","Beryx","splendens","24",27,""
"Chimaeridae","Chimaera","monstrosa","24",27,""
"Gobiidae","Lesueurigobius","friesii","24",27,""
"Lotidae","Molva","molva","24",27,""
"Soleidae","Pegusa","lascaris","24",27,""
"Balistidae","Balistes","capriscus","24",27,""
"Rajidae","Leucoraja","fullonica","24",27,""
"Rajidae","Raja","undulata","24",27,""
"Scophthalmidae","Phrynorhombus","norvegicus","24",27,""
"Mugilidae","Chelon","labrosus","24",27,""
"Dasyatidae","Dasyatis","pastinaca","24",27,""
"Labridae","Symphodus","bailloni","24",27,""
"Gadidae","Melanogrammus","aeglefinus","24",27,""
"Triakidae","Galeorhinus","galeus","24",27,""
"Lotidae","Molva","macrophthalma","24",27,""
"Rajidae","Dipturus","","24",27,""
"Pleuronectidae","Hippoglossoides","platessoides","24",27,""
"Gadidae","Trisopterus","esmarkii","24",27,""
"Pleuronectidae","Glyptocephalus","cynoglossus","24",27,""
"Torpedinidae","Tetronarce","nobiliana","24",27,""
"Scophthalmidae","Scophthalmus","rhombus","24",27,""
"Bothidae","Arnoglossus","thori","24",27,""
"Sparidae","Pagellus","acarne","24",27,""
"Sciaenidae","Umbrina","canariensis","24",27,""
"Argentinidae","Argentina","","25",27,""
"Merlucciidae","Merluccius","merluccius","25",27,""
"Callionymidae","Callionymus","","25",27,""
"Scyliorhinidae","Scyliorhinus","canicula","25",27,""
"Lophiidae","Lophius","piscatorius","25",27,""
"Scombridae","Scomber","scombrus","25",27,""
"Scophthalmidae","Lepidorhombus","whiffiagonis","25",27,""
"Gadidae","Micromesistius","poutassou","25",27,""
"Soleidae","Bathysolea","profundicola","25",27,""
"Congridae","Conger","conger","25",27,""
"Gadidae","Gadiculus","argenteus","25",27,""
"Pentanchidae","Galeus","melastomus","25",27,""
"Scophthalmidae","Lepidorhombus","boscii","25",27,""
"Macrouridae","Malacocephalus","laevis","25",27,""
"Soleidae","Microchirus","variegatus","25",27,""
"Phycidae","Phycis","blennoides","25",27,""
"Carangidae","Trachurus","trachurus","25",27,""
"Triglidae","Chelidonichthys","cuculus","25",27,""
"Gadidae","Trisopterus","luscus","25",27,""
"Lotidae","Molva","molva","25",27,""
"Lophiidae","Lophius","budegassa","25",27,""
"Caproidae","Capros","aper","25",27,""
"Sebastidae","Helicolenus","dactylopterus","25",27,""
"Triglidae","Trigla","lyra","25",27,""
"Clupeidae","Sardina","pilchardus","25",27,""
"Triglidae","Eutrigla","gurnardus","25",27,""
"Bothidae","Arnoglossus","laterna","25",27,""
"Zeidae","Zeus","faber","25",27,""
"Centriscidae","Macroramphosus","scolopax","24",27,""
"Belonidae","Belone","belone","24",27,""
"Serranidae","Serranus","hepatus","24",27,""
"Scorpaenidae","Scorpaena","scrofa","24",27,""
"Macrouridae","Coryphaenoides","rupestris","24",27,""
"Myctophidae","Lampanyctus","crocodilus","24",27,""
"Sparidae","Pagellus","","24",27,""
"Callionymidae","Callionymus","lyra","25",27,""
"Trachinidae","Trachinus","draco","25",27,""
"Balistidae","Balistes","capriscus","25",27,""
"Sparidae","Boops","boops","25",27,""
"Mugilidae","Chelon","","25",27,""
"Triglidae","Chelidonichthys","lucerna","25",27,""
"Engraulidae","Engraulis","encrasicolus","25",27,""
"Soleidae","Dicologlossa","cuneata","25",27,""
"Macrouridae","Macrourus","berglax","25",27,""
"Xiphiidae","Xiphias","gladius","25",27,""
"Labridae","Acantholabrus","palloni","25",27,""
"Soleidae","Solea","solea","25",27,""
"Serranidae","Serranus","cabrilla","24",27,""
"Labridae","Labrus","bergylta","24",27,""
"Sparidae","Pagellus","bogaraveo","24",27,""
"Labridae","Acantholabrus","palloni","24",27,""
"Etmopteridae","Etmopterus","spinax","24",27,""
"Moronidae","Dicentrarchus","punctatus","24",27,""
"Ammodytidae","Gymnammodytes","semisquamatus","24",27,""
"Centrophoridae","Deania","calcea","24",27,""
"Lotidae","Gaidropsarus","macrophthalmus","24",27,""
"Myliobatidae","Myliobatis","aquila","24",27,""
"Soleidae","Solea","senegalensis","24",27,""
"Centrophoridae","Deania","calcea","25",27,""
"Sternoptychidae","Argyropelecus","olfersii","25",27,""
"Etmopteridae","Etmopterus","spinax","25",27,""
"Lotidae","Gaidropsarus","biscayensis","25",27,""
"Myctophidae","Notoscopelus","kroyeri","25",27,""
"Alepocephalidae","Xenodermichthys","copei","25",27,""
"Hexanchidae","Hexanchus","griseus","24",27,""
"Lotidae","Molva","macrophthalma","25",27,""
"Sternoptychidae","Argyropelecus","hemigymnus","25",27,""
"Sternoptychidae","Argyropelecus","olfersii","24",27,""
"Berycidae","Beryx","decadactylus","24",27,""
"Moridae","Mora","moro","24",27,""
"Alepocephalidae","Xenodermichthys","copei","24",27,""
"Phosichthyidae","Polymetme","corythaeola","24",27,""
"Lotidae","Gaidropsarus","biscayensis","24",27,""
"Macrouridae","Macrourus","berglax","24",27,""
"Macrouridae","Hymenocephalus","italicus","24",27,""
"Synaphobranchidae","Synaphobranchus","kaupii","24",27,""
"Rajidae","Rajella","bathyphila","24",27,""
"Sternoptychidae","Maurolicus","muelleri","24",27,""
"Lotidae","Gaidropsarus","mediterraneus","24",27,""
"Trichiuridae","Lepidopus","caudatus","24",27,""
"Myctophidae",NA,"","24",27,""
"Sparidae","Diplodus","sargus","24",27,""
"Scyliorhinidae","Scyliorhinus","stellaris","24",27,""
"Scophthalmidae","Zeugopterus","punctatus","24",27,""
"Labridae","Centrolabrus","exoletus","24",27,""
"Gadidae","Raniceps","raninus","24",27,""
"Gadidae","Trisopterus","minutus","25",27,""
"Myctophidae",NA,"","25",27,""
"Lamnidae","Lamna","nasus","24",27,""
"Rajidae","Dipturus","oxyrinchus","24",27,""
"Dalatiidae","Dalatias","licha","24",27,""
"Polyprionidae","Polyprion","americanus","24",27,""
"Scorpaenidae","Scorpaena","porcus","24",27,""
"Gobiidae","Lesueurigobius","friesii","25",27,""
"Squalidae","Squalus","acanthias","25",27,""
"Cepolidae","Cepola","macrophthalma","25",27,""
"Labridae","Labrus","mixtus","25",27,""
"Rajidae","Raja","clavata","25",27,""
"Carapidae","Echiodon","drummondii","25",27,""
"Ophidiidae","Ophidion","barbatum","25",27,""
"Myctophidae","Diaphus","","25",27,""
"Sternoptychidae","Maurolicus","muelleri","25",27,""
"Syngnathidae","Nerophis","lumbriciformis","24",27,""
