Family,Genus,Species,lme,fao,Subspecies
Syngnathidae,Entelurus,aequoreus,20,27,
Syngnathidae,Entelurus,aequoreus,21,27,
Syngnathidae,NA,,22,27,
Syngnathidae,NA,,20,27,
Syngnathidae,Nerophis,ophidion,21,27,
Syngnathidae,Nerophis,ophidion,22,27,
Syngnathidae,Nerophis,ophidion,20,27,
Syngnathidae,Syngnathus,,22,27,
Syngnathidae,Syngnathus,,20,27,
Trachinidae,Echiichthys,vipera,22,27,
Trachinidae,Trachinus,draco,22,27,
Trachipteridae,Trachipterus,arcticus,22,27,
Triakidae,Galeorhinus,galeus,22,27,
Triakidae,Mustelus,asterias,22,27,
Triakidae,Mustelus,mustelus,22,27,
Triglidae,Chelidonichthys,cuculus,22,27,
Triglidae,Chelidonichthys,lucernus,22,27,
Triglidae,Chelidonichthys,lucernus,21,27,
Triglidae,Eutrigla,gurnardus,22,27,
Triglidae,Eutrigla,gurnardus,21,27,
Triglidae,Eutrigla,gurnardus,20,27,
Triglidae,NA,,22,27,
Triglidae,NA,,20,27,
Zoarcidae,Gymnelus,retrodorsalis,20,27,
Zoarcidae,Gymnelus,viridis,20,27,
Zoarcidae,Lycenchelys,kolthoffi,20,27,
Zoarcidae,Lycenchelys,kolthoffi,21,27,
Zoarcidae,Lycenchelys,muraena,22,27,
Zoarcidae,Lycenchelys,muraena,20,27,
Zoarcidae,Lycenchelys,muraena,21,27,
Zoarcidae,Lycenchelys,sarsii,20,27,
Zoarcidae,Lycenchelys,sarsii,22,27,
Zoarcidae,Lycenchelys,,20,27,
Zoarcidae,Lycodes,adolfi,20,27,
Zoarcidae,Lycodes,adolfi,21,27,
Zoarcidae,Lycodes,esmarkii,20,27,
Zoarcidae,Lycodes,esmarkii,21,27,
Zoarcidae,Lycodes,esmarkii,22,27,
Zoarcidae,Lycodes,eudipleurostictus,20,27,
Zoarcidae,Lycodes,eudipleurostictus,21,27,
Zoarcidae,Lycodes,eudipleurostictus,22,27,
Zoarcidae,Lycodes,frigidus,20,27,
Zoarcidae,Lycodes,gracilis,20,27,
Zoarcidae,Lycodes,gracilis,22,27,
Zoarcidae,Lycodes,gracilis,21,27,
Zoarcidae,Lycodes,luetkenii,20,27,
Zoarcidae,Lycodes,paamiuti,20,27,
Zoarcidae,Lycodes,pallidus,20,27,
Zoarcidae,Lycodes,pallidus,22,27,
Zoarcidae,Lycodes,pallidus,21,27,
Zoarcidae,Lycodes,reticulatus,20,27,
Zoarcidae,Lycodes,reticulatus,21,27,
Zoarcidae,Lycodes,reticulatus,22,27,
Zoarcidae,Lycodes,rossi,20,27,
Zoarcidae,Lycodes,rossi,21,27,
Zoarcidae,Lycodes,seminudus,20,27,
Zoarcidae,Lycodes,seminudus,21,27,
Zoarcidae,Lycodes,squamiventer,20,27,
Zoarcidae,Lycodes,squamiventer,21,27,
Zoarcidae,Lycodes,vahlii,22,27,
Zoarcidae,Lycodes,vahlii,20,27,
Zoarcidae,Lycodes,,20,27,
Zoarcidae,Lycodes,,21,27,
Zoarcidae,Lycodes,,22,27,
Zoarcidae,Lycodonus,flagellicauda,22,27,
Zoarcidae,Lycodonus,flagellicauda,20,27,
Zoarcidae,NA,,22,27,
Zoarcidae,NA,,20,27,
Zoarcidae,NA,,21,27,
Zoarcidae,Zoarces,viviparus,22,27,
Zoarcidae,Zoarces,viviparus,20,27,
