family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Liparidae,Liparis,liparis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,liparis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Liparidae,Liparis,liparis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Chelidonichthys,lucernus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Chelidonichthys,lucernus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,luetkenii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Cyclopterus,lumpus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Cyclopterus,lumpus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Cyclopterus,lumpus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,lupus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,lupus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Anarhichadidae,Anarhichas,lupus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,luscus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Trisopterus,luscus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Soleidae,Buglossidium,luteum,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,lyra,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,lyra,20,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,lyra,21,27,species,NA,fb,TL,spe-LME,3,0.01
Myctophidae,Lampanyctus,macdonaldi,20,27,species,NA,fb,TL,spe-LME,3,0.01
Lotidae,Gaidropsarus,macrophthalmus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,maculatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,maculatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Callionymidae,Callionymus,maculatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Leptoclinus,maculatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Leptoclinus,maculatus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Leptoclinus,maculatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,marinus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,marinus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Ammodytes,marinus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Petromyzontidae,Petromyzon,marinus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Petromyzontidae,Petromyzon,marinus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,marinus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Scophthalmus,maximus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Scophthalmus,maximus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Cyclopteridae,Cyclopteropsis,mcalpini,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Anisarchus,medius,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Anisarchus,medius,22,27,species,NA,fb,TL,spe-LME,3,0.01
Centrolophidae,Schedophilus,medusophagus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Centrolophidae,Schedophilus,medusophagus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Centrolophidae,Schedophilus,medusophagus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pentanchidae,Galeus,melastomus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pentanchidae,Galeus,melastomus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pentanchidae,Galeus,melastomus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,mentella,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,mentella,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,mentella,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Merlangius,merlangus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Merlangius,merlangus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gadidae,Merlangius,merlangus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Merlucciidae,Merluccius,merluccius,22,27,species,NA,fb,TL,spe-LME,3,0.01
